Sample_ID	n_CNV
HG00096	817
HG00097	817
HG00099	817
HG00100	817
HG00101	817
HG00102	817
HG00103	817
HG00105	817
HG00106	817
HG00107	817
HG00108	817
HG00109	817
HG00110	817
HG00111	817
HG00112	817
HG00113	817
HG00114	817
HG00115	817
HG00116	817
HG00117	817
HG00118	817
HG00119	817
HG00121	817
HG00122	817
HG00123	817
HG00124	817
HG00125	817
HG00126	817
HG00127	817
HG00128	817
HG00129	817
HG00130	817
HG00131	817
HG00132	817
HG00136	817
HG00137	817
HG00138	817
HG00139	817
HG00140	817
HG00141	817
HG00142	817
HG00143	817
HG00145	817
HG00146	817
HG00148	817
HG00149	817
HG00150	817
HG00155	817
HG00157	817
HG00158	817
HG00159	817
HG00160	817
HG00171	817
HG00173	817
HG00174	817
HG00176	817
HG00177	817
HG00178	817
HG00179	817
HG00180	817
HG00181	817
HG00182	817
HG00183	817
HG00185	817
HG00186	817
HG00187	817
HG00188	817
HG00189	817
HG00190	817
HG00231	817
HG00232	817
HG00233	817
HG00234	817
HG00235	817
HG00236	817
HG00237	817
HG00238	817
HG00240	817
HG00242	817
HG00243	817
HG00246	817
HG00250	817
HG00251	817
HG00252	817
HG00253	817
HG00254	817
HG00256	817
HG00257	817
HG00258	817
HG00259	817
HG00260	817
HG00261	817
HG00262	817
HG00263	817
HG00265	817
HG00266	817
HG00267	817
HG00268	817
HG00269	817
HG00271	817
HG00272	817
HG00273	817
HG00274	817
HG00275	817
HG00276	817
HG00277	817
HG00278	817
HG00280	817
HG00281	817
HG00282	817
HG00284	817
HG00285	817
HG00304	817
HG00306	817
HG00308	817
HG00309	817
HG00310	817
HG00311	817
HG00313	817
HG00315	817
HG00318	817
HG00319	817
HG00320	817
HG00321	817
HG00323	817
HG00324	817
HG00325	817
HG00326	817
HG00327	817
HG00328	817
HG00329	817
HG00330	817
HG00331	817
HG00332	817
HG00334	817
HG00335	817
HG00336	817
HG00337	817
HG00338	817
HG00339	817
HG00341	817
HG00342	817
HG00343	817
HG00344	817
HG00345	817
HG00346	817
HG00349	817
HG00350	817
HG00351	817
HG00353	817
HG00355	817
HG00356	817
HG00357	817
HG00358	817
HG00360	817
HG00361	817
HG00362	817
HG00364	817
HG00365	817
HG00366	817
HG00367	817
HG00368	817
HG00369	817
HG00371	817
HG00372	817
HG00373	817
HG00375	817
HG00376	817
HG00378	817
HG00379	817
HG00380	817
HG00381	817
HG00382	817
HG00383	817
HG00384	817
HG00403	817
HG00406	817
HG00407	817
HG00409	817
HG00410	817
HG00419	817
HG00422	817
HG00428	817
HG00436	817
HG00437	817
HG00442	817
HG00443	817
HG00445	817
HG00446	817
HG00448	817
HG00449	817
HG00451	817
HG00452	817
HG00457	817
HG00458	817
HG00463	817
HG00464	817
HG00472	817
HG00473	817
HG00475	817
HG00476	817
HG00478	817
HG00479	817
HG00500	817
HG00501	817
HG00513	817
HG00524	817
HG00530	817
HG00531	817
HG00533	817
HG00534	817
HG00536	817
HG00537	817
HG00542	817
HG00543	817
HG00551	817
HG00553	817
HG00554	817
HG00556	817
HG00557	817
HG00559	817
HG00560	817
HG00565	817
HG00580	817
HG00581	817
HG00583	817
HG00584	817
HG00589	817
HG00590	817
HG00592	817
HG00593	817
HG00596	817
HG00598	817
HG00599	817
HG00607	817
HG00608	817
HG00610	817
HG00611	817
HG00613	817
HG00619	817
HG00620	817
HG00622	817
HG00623	817
HG00625	817
HG00626	817
HG00628	817
HG00629	817
HG00632	817
HG00634	817
HG00635	817
HG00637	817
HG00638	817
HG00640	817
HG00641	817
HG00650	817
HG00651	817
HG00653	817
HG00654	817
HG00656	817
HG00657	817
HG00662	817
HG00663	817
HG00671	817
HG00672	817
HG00674	817
HG00675	817
HG00683	817
HG00684	817
HG00689	817
HG00690	817
HG00692	817
HG00693	817
HG00698	817
HG00699	817
HG00702	817
HG00704	817
HG00707	817
HG00708	817
HG00717	817
HG00728	817
HG00729	817
HG00731	817
HG00732	817
HG00733	817
HG00734	817
HG00736	817
HG00739	817
HG00740	817
HG00742	817
HG00743	817
HG00844	817
HG00851	817
HG00864	817
HG00879	817
HG00881	817
HG00956	817
HG00978	817
HG00982	817
HG01028	817
HG01029	817
HG01031	817
HG01046	817
HG01048	817
HG01049	817
HG01051	817
HG01052	817
HG01054	817
HG01055	817
HG01058	817
HG01060	817
HG01061	817
HG01063	817
HG01064	817
HG01066	817
HG01067	817
HG01069	817
HG01070	817
HG01072	817
HG01075	817
HG01077	817
HG01079	817
HG01080	817
HG01082	817
HG01083	817
HG01085	817
HG01086	817
HG01088	817
HG01089	817
HG01092	817
HG01094	817
HG01095	817
HG01097	817
HG01098	817
HG01101	817
HG01104	817
HG01105	817
HG01107	817
HG01110	817
HG01111	817
HG01112	817
HG01113	817
HG01124	817
HG01125	817
HG01133	817
HG01134	817
HG01136	817
HG01137	817
HG00133	816
HG00151	816
HG00255	816
HG00264	816
HG00566	816
HG00244	815
HG01131	815
HG00239	814
HG00290	814
HG00759	814
HG01047	814
HG01102	814
HG01121	814
HG01122	814
HG00120	813
HG00288	813
HG00867	813
HG00766	812
HG01130	812
HG00595	809
